ID_String,Text,News_Org,SA
1071922928776826880,@CNN Should lose their license permenantly! That sets the tone that kid's lives matter.,CNN,0
1071922912297394176,"@BridgetKF30 @Mell0w5 @POTUS @CNN @MSNBC @ABC @nbc @CBS @donlemon Congratulations, Barron!",CNN,0
1071922883369160704,"@CNN Stop your act, CNN,,,,,,,,,, you are a fake and a fraud",CNN,-1
1071922867565150209,@CNN Which way is the wind blowing ... https://t.co/2lP22ZcZax,CNN,0
1071922866420105217,#dólar #france #war #europe #siria #cee #iran #usa #finanzas #army #geopolitica #imperio @AlfredoJalifeR_… https://t.co/FfVNklVQlR,,0
1071922863156932609,@CNN I’m sure there are hundreds of people who have done a lot more with much less and had no need to broadcast it.… https://t.co/mhePm51Yta,CNN,1
1071922853090652166,@EricBoehlert That infuriates me. FYI @CNN,CNN,0
1071922849462403073,@CNN @CNNOpinion Unlike real news. CNN plays the same old democrat game. CNN's on top of the resistance of TOTAL HONEST NEWS !!!,CNN,1
1071922832752418818,@hmmmph36 @AC360 @CNN @jahimes https://t.co/U5FmcYhMFl,CNN,0
1071922830957297672,@comicsdaughter @davidaxelrod @RahmEmanuel @CNN He has a short memory. Did Barack Obama not lose a congressional ra… https://t.co/cwRWm5kqEX,CNN,0
1071922830126641154,@CNN https://t.co/vdJED3dDAe,CNN,0
1071922823055187968,"@WajdWaqfi @alalmass @CNN المطرب قال "" ستعود "" نعم ستعود الى الحق حينما يظهر الحق بعدما فعله السفهاء",CNN,0
1071922813206966273,"@CNN, @cnni, @BBC , @msnbc, @KTLA and @FoxNews have you ignored this??? https://t.co/OWnN5Sk6bW",,0
1071922775802167296,@lauferlaw @patribotics @JamesFourM @ScottMStedman @CBCNews @maddow @CNN @guardian @latimes JUST WHAT WE ALL DO ON… https://t.co/9POV7biAEc,CNN,0
1071922770789982208,@davidaxelrod @RahmEmanuel @CNN Trump appealed to the basest instincts of people to get elected. Nothing but fear a… https://t.co/6J7azn85z2,CNN,0
1071922755845541888,@FoxNews https://t.co/vdJED3dDAe,FoxNews,0
1071922751038992384,@GovMikeHuckabee @foxandfriends @FoxNews https://t.co/bQOZKNR2zP,FoxNews,0
1071922748656664576,@cnn @msnbc @maddow @CNNPolitics @ABCPolitics @ABC @CBSNews @NBCNews @CBSTweet @CBS @nbc @cnnbrk @TamronMSNBC… https://t.co/gGgvCjEvCJ,CNN,0
1071922742042288133,"'I can't breathe.' Jamal Khashoggi's last words disclosed in transcript, source says @CNN https://t.co/C2WEHTY16U",CNN,0
1071922719539621888,"GERMANY HAS FALLEN!!

TREAT THEM AS SUCH

@realDonaldTrump @WayneDupreeShow @dbongino @w_terrence @WyattEarpLA… https://t.co/F17lKsbLPR",,0
1071922699377627136,@davidaxelrod @ggreenwald @RahmEmanuel @CNN Hillary won the popular vote and that “better politician” Trump got hel… https://t.co/eQP0YIe2wc,CNN,1
1071922695682564096,@Deborah53246929 @LLESGMOMMA @FoxNews Also Bill C.inton and Barack Obama wanted tougher borders to keep illegal ali… https://t.co/cRoCfkHcHS,FoxNews,-1
1071922695112134656,Hey @CNN the cat ate your tongues? https://t.co/kjGCKYQKK9,CNN,0
1071922679610073088,@TuckerCarlson Isn’t all that the purpose of @FoxNews,FoxNews,0
1071922673184399361,@liamstack @benshapiro He’s black so @CNN will not cover this.,CNN,-1
1071922658797862912,@eddyman1 @greenlifedream1 @AC360 @CNN @jahimes Language please.,CNN,0
1071922656243605504,@CNNHeroes @CNN To hard to call. Best wishes to ALL,CNN,1
1071922646433046530,@nfl Eagles/Dallas refs r f'd up! @FOXNEWS @foxandfriends @MSNBC @CNN @ABC @CBS @NBCNews  @votevets,CNN,0
1071922629941039105,@pinkk9lover @alley167 @POTUS @Acosta @CNN @donlemon @Q_101_X @ROCKONOHIO @BestBrownsFan @RNRKentucky @AppSame… https://t.co/J090xzrNIf,CNN,0
1071922628343009280,"@FoxNews
@DonaldTrumpJr
@IvankaTrump
@JaredKushner
@EricTrump
@StephenMillerAL
@CLewandowski_
@SpeakerRyan… https://t.co/KtP8xuibuV",FoxNews,0
1071922625738350592,@TomFitton @JudicialWatch @realDonaldTrump @JudgeJeanine @FoxNews 😂 Judge Jeanine?   No thanks.,FoxNews,-1
1071922609598750721,@wtffffffffcckkk @DaveDunndee @CNN So what is your point? You’re pissed because the DOJ uses plea agreements to get… https://t.co/V68W3Lat3a,CNN,0
1071922580951461888,"@_waleedshahid @VanJones68 Sad. More reasons to never tune in to this creep or @cnn. Just like Trump, CNN hires “the best.”",,1
1071922579139649538,@Coup52151423 @jasonlaskodi @GreggJarrett @FoxNews Pleasure was all mine.,FoxNews,0
1071922572038729728,"@CNN Their journalism college professors must be disgusted. Or, they should be disgusted.",CNN,-1
1071922541428699139,"@Danno_a_Jyd @PolitiBunny @FoxNews You don’t decide shit for anyone but yourself, bud. Outside of your own choices-… https://t.co/i4fYywQEUB",FoxNews,1
1071922540602368000,".
@CNN @soyfdelrincon @AndersonCooper

VICEPRESIDENTE ELECTO x PUEBLO en prisión sin prueba alguna,en HUELGA-HAMBRE… https://t.co/9fW0Py0Ug9",CNN,0
1071922540094750720,@ScottJenningsKY @CNN @RobbyMook @AnaCabrera Wish you would stop shilling for corrupt GOP.....,CNN,-1
1071922532788383745,@AppSame @CNNPolitics @CNN @realDonaldTrump Two FAKE NEWS sources.,CNN,-1
1071922512890597376,Why is it that @CNN or @MSNBC won't report on this kind of information. https://t.co/SjKUSIucnr,CNN,1
1071922510722154497,"@Matt18459505 @vampxu @mitchellvii @FoxNews Please rescue me, thank you!",FoxNews,0
1071922507416883202,"@TuckerCarlson You need only look in the mirror, Tucker. You and @FoxNews have done your best to poison minds and m… https://t.co/WyA2ot1K7r",FoxNews,1
1071922464949702661,@CNN Time we do anything it will be to late.,CNN,-1
1071922454459805696,"@newsbusters @CNN @brianstelter @NickFondacaro The dude is on the delusional network CNN,what do you expect? Whacko's Are all they employ !",CNN,0
1071922451364368386,And the color of the year is...Pantone thinks this color will be your shade in 2019 @CNN https://t.co/JKsYvNytMG https://t.co/1eanwRnLJM,CNN,0
1071922443575451648,@TomFitton @JudicialWatch @realDonaldTrump @JudgeJeanine @FoxNews Wasting taxpayer money on dumb emails again....FFS,FoxNews,-1
